doc_type,source_id,file_name,page_start,page_end,chunk_index,char_start,char_end,text_preview,embedding_preview
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0001,1.FCM內控-總則---114.04.md,,,1,0,800,# 1.FCM內控-總則---114.04  ## Page 1  期貨商內部控制制度 總則 總 則 一、 訂定依據： 「期貨商管理規則」第二條規定，期貨商應依期貨相關機構訂定之期貨商內部控制制度標準規範訂定內部控制制度。 本標準規範依據主管機關訂定之「證券暨期貨市場各服務事業建立內部控制制度處理準則」等相關法規編製而成。 二、 本標準規範之使用： (一) ,"[-0.0008782660588622093, -0.027445049956440926, -0.08229047060012817, 0.012135379947721958, 0.008301862515509129, -0.03775090351700783, -0.03323587030172348, 5.5097934819059446e-05]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0002,1.FCM內控-總則---114.04.md,,,2,600,1400,規範中各單位名稱簡稱如下： 1. 金融監督管理委員會：主管機關 2. 臺灣期貨交易所股份有限公司：期交所 114年4月 0 - 1 臺灣期貨交易所  ## Page 2  期貨商內部控制制度 總則 3. 中華民國期貨業商業同業公會：期貨公會 4. 財團法人證券暨期貨發展基金會：證基會 5. 臺灣證券交易所股份有限公司：證交所 6. 財團法人中華民國會計研究發,"[0.002987808780744672, -0.022098088636994362, -0.06725004315376282, 0.007129985839128494, 0.012411776930093765, -0.04803759232163429, -0.025246765464544296, -0.0012235577451065183]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0003,1.FCM內控-總則---114.04.md,,,3,1200,2000,下列目標之達成： (一) 營運之效果及效率。 (二) 報導具可靠性、及時性、透明性及符合相關規範。 (三) 相關法令規章之遵循。 前項營運之效果及效率目標，包括獲利、績效及保障資產安全等之報導，包括各服務事業內部與外部財務報導及非財務報導。 其中外部財務報導之目標，包括確保對外之財務報表係依照各服務事業財務報告編製規範及一般公認會計原則編製，交易經適 當核准,"[0.00021560589084401727, -0.0019213061314076185, -0.0438072606921196, 0.021448824554681778, -0.0019626545254141092, -0.0013184193521738052, -0.030907418578863144, 0.011914401315152645]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0004,1.FCM內控-總則---114.04.md,,,4,1800,2600,確保建立及維持適當有效之內部控制制度負有最終之責任。 六、 內部控制之組成要素： 依「證券暨期貨市場各服務事業建立內部控制制度處理準則」第七條之規定，內部控制制度應包括下列組成要素： (一) 控制環境：係事業設計及執行內部控制制度之基礎。控制環境包括事業之誠信與道德價值、董事會及監察人治理監督責任、 組織結構、權責分派、人力資源政策、績效衡量及獎懲等。董事會,"[-0.003863496007397771, 0.014506114646792412, -0.05276650935411453, 0.01025993563234806, 0.00299404701218009, -0.014720813371241093, -0.021789157763123512, 0.024679120630025864]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0005,1.FCM內控-總則---114.04.md,,,5,2400,3200,皆能進行有效溝通。內部控制制度須具備產生規劃、執行、監督等所需資 訊及提供資訊需求者適時取得資訊之機制。 114年4月 0 - 4 臺灣期貨交易所  ## Page 5  期貨商內部控制制度 總則 (五) 監督作業：係指事業進行持續性評估、個別評估或兩者併行，以確定內部控制制度之各組成要素是否已經存在及持續運作。 持續性評估係指不同層級營運過程中之例行評估；,"[-0.02405708283185959, 0.0017248030053451657, -0.04611653834581375, 0.02511075884103775, -0.000329634320223704, -0.027979813516139984, -0.010761127807199955, 0.008689163252711296]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0006,1.FCM內控-總則---114.04.md,,,6,3000,3800,敘明。 九、 內部控制制度之內容： 公司之內部控制制度，除視公司之性質訂定各種營運循環類型之控制作業外，尚應視其需要包括對下列作業之控制： (一) 印鑑使用之管理。 (二) 票據領用之管理。 (三) 預算之管理。 114年4月 0 - 5 臺灣期貨交易所  ## Page 6  期貨商內部控制制度 總則 (四) 財產之管理。 (五) 背書保證之管理。 (六),"[-0.023985354229807854, 0.021004917100071907, -0.04803911969065666, 0.0368841215968132, -0.01799480989575386, -0.018629565834999084, -0.012182206846773624, 0.020803919062018394]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0007,1.FCM內控-總則---114.04.md,,,7,3600,4400,二十二) 薪資報酬委員會運作之管理（股票已上市或在證券商營業處所買賣之公司適用）。 (二十三) 防範內線交易之管理（股票已上市或在證券商營業處所買賣之公司、金控及上市櫃公司之期貨子公司適用）。 (二十四) 防制洗錢及打擊資恐機制及相關法令之遵循管理，包括辨識、衡量、監控洗錢及資恐風險之管理機制。 (二十五) 設有國內外分公司（或子公司）者，應建立集團整體性防,"[-0.009688842110335827, -0.011976353824138641, -0.06570729613304138, 0.05438161641359329, -0.006458102725446224, -0.009183852933347225, -0.021622296422719955, 0.01512150652706623]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0008,1.FCM內控-總則---114.04.md,,,8,4200,5000,理之控制。 (七) 檔案及設備之安全控制。 (八) 硬體及系統軟體之購置、使用及維護之控制。 (九) 系統復原計畫制度及測試程序之控制。 (十) 資通安全檢查之控制。 (十一) 依規定向主管機關指定網站進行公開資訊申報者，其相關作業之控制。 十、 內部控制制度之設計： 內部控制制度之建立與設計，應針對各公司之特定情況而設計。公司之管理階層、部門主管、企劃幕僚,"[-0.011841741390526295, 0.00042849077726714313, -0.06762345880270004, 0.026730431243777275, -0.006676557939499617, -0.001601681113243103, -0.026597414165735245, 0.011710020713508129]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0009,1.FCM內控-總則---114.04.md,,,9,4800,5600,提供改進建 議，以確保內部控制制度得以持續有效實施及作為檢討修正內部控制制度之依據。 十二、 內部稽核之職能： 內部稽核職能之目的及範圍通常包括用以評估並改善企業之治理、風險管理及內部控制流程有效性之確信及諮詢工作，該等 工作例示如下： (一)與治理有關之工作： 內部稽核職能可評估治理流程是否達成下列目標： 1.道德及價值。 2.績效管理及課責性。 114年,"[0.002705853432416916, 0.00038506046985276043, -0.047987472265958786, 0.0065811737440526485, 0.007243613246828318, -0.02522088587284088, -0.0012105276109650731, -0.03386314958333969]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0010,1.FCM內控-總則---114.04.md,,,10,5400,6200,內部稽核職能可複核營運活動（包含企業之非財務活動）之效率與效果。 4. 法令遵循之複核： 內部稽核職能可複核法令及其他外部規定之遵循，以及管理階層訂定之政策及程序與其他內部規定之遵循。 114年4月 0 - 1 0 臺灣期貨交易所  ## Page 11  期貨商內部控制制度 總則 十三、 內部稽核實施細則之項目 公司之內部稽核實施細則至少應包括下列項目： ,"[0.01458627451211214, 0.00812604557722807, -0.04134717211127281, 0.016736799851059914, 0.008671090006828308, -0.021637557074427605, 0.005632747896015644, -0.04112263023853302]"
